File Name,User,License,License Link,Usage
Laughs_ses2.wav,freesound,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
laughter 01.wav,tim.kahn,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Crowd laugh.wav,deleted_user_2104797,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
VOX_squad_laughing.wav,stereodivo,Sampling Plus 1.0 Generic,https://creativecommons.org/licenses/sampling+/1.0/,"Original, Altered"
people_laughing_outdoors_003.wav,Martina_Leitschuh,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
"village crowd active under mango trees talking laughing boisterous women Putti, Uganda, Africa 2016.wav",kyles,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Mammoth Noising / Roaring / Yelling,TheVeoMammoth11,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Evil Kitchen,plasmidintercourse,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Kitchen faucet,giddster,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
KITCHEN,yahaveva,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Cooking in the Kitchen,KenzieVaness,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
MUS152_CoryMarohnicUtensilDrawer.wav,cmarohnic89,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
kitchen with cats,paisagemsonoraunila,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Kitchen Sounds,xiaoxiaozyh,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
cocina en acción .m4a,nicolasgonzalezm,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
KuecheAufraeumen_128.mp3,RishkaBee,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
"FOODKware_Knife Sharpening 01_JOSH_OWI 3RD YEAR SFX PACK_Scarlett 18i20, Samson C01.wav",jchiledred,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
In the kitchen 2,pedrgloria,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
cutlery.wav,gallagho,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
gas hobs click fire flame,spanrucker,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Mixer.wav,SRuelas,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
kitchen utensils 01.wav,volivieri,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Kitchen noises microwave.mp3,Lewooz,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Kitchen.PlatesSraping.Faucet.wav,jessepash,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Claps.wav,dmunk,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
clap.wav,florian_reinke,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping.wav,Slooshie_96,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Clapping.wav,jyoung20,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Hand claps,parkersenk,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Clapping and Yelling,donut-kiss,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
