(none),obstacle,toy,ball,human,hedgehog
0.0,404.0,74.0,183.0,28.0,47.0
31.0,2104.0,0.0,0.0,3.0,0.0
20.0,1.0,1443.0,1.0,0.0,3.0
3.0,0.0,0.0,858.0,0.0,5.0
3.0,0.0,1.0,0.0,176.0,0.0
6.0,0.0,1.0,3.0,0.0,988.0
