(none),train,bicycle,person,motorbike,car,bus
0.0,133.0,462.0,3245.0,326.0,1033.0,125.0
116.0,507.0,0.0,1.0,2.0,2.0,9.0
218.0,0.0,511.0,10.0,16.0,2.0,0.0
1523.0,0.0,9.0,4509.0,19.0,9.0,0.0
159.0,0.0,38.0,40.0,477.0,11.0,0.0
784.0,4.0,3.0,8.0,6.0,1434.0,15.0
128.0,13.0,0.0,2.0,0.0,27.0,451.0
